Brand Name,Category Name,City,Customer,Order Date,Order Id,Product Name,Sales Rep,State,Store Name,Region/Regions,Revenue,Total Units
Electra,Cruisers Bicycles,Pleasanton,Johnathan Velazquez,01-01-2016,1,Electra Townie Original 7D EQ - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$1,200",2
Electra,Cruisers Bicycles,Pleasanton,Johnathan Velazquez,01-01-2016,1,Electra Townie Original 7D EQ - Women's - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,$600,1
Surly,Cyclocross Bicycles,Pleasanton,Johnathan Velazquez,01-01-2016,1,Surly Straggler - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$3,098",2
Trek,Mountain Bikes,Pleasanton,Johnathan Velazquez,01-01-2016,1,Trek Fuel EX 8 29 - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$2,900",1
Trek,Mountain Bikes,Pleasanton,Johnathan Velazquez,01-01-2016,1,Trek Remedy 29 Carbon Frameset - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$3,600",2
Electra,Cruisers Bicycles,Huntington Station,Jaqueline Cummings,01-01-2016,2,Electra Townie Original 7D EQ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,200",2
Electra,Cruisers Bicycles,Huntington Station,Jaqueline Cummings,01-01-2016,2,Electra Townie Original 7D EQ - Women's - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$600,1
Electra,Cruisers Bicycles,Patchogue,Joshua Robertson,02-01-2016,3,Electra Townie Original 7D EQ - Women's - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$600,1
Surly,Mountain Bikes,Patchogue,Joshua Robertson,02-01-2016,3,Surly Wednesday Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,000",1
Ritchey,Mountain Bikes,Duarte,Nova Hess,03-01-2016,4,Ritchey Timberwolf Frameset - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,500",2
Electra,Comfort Bicycles,Utica,Arla Ellis,03-01-2016,5,Electra Townie Original 7D EQ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$600,1
Pure Cycles,Cruisers Bicycles,Utica,Arla Ellis,03-01-2016,5,Pure Cycles Vine 8-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$429,1
Surly,Cyclocross Bicycles,Utica,Arla Ellis,03-01-2016,5,Surly Straggler - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$3,098",2
Electra,Cruisers Bicycles,Baldwinsville,Sharyn Hopkins,04-01-2016,6,Electra Townie Original 21D - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,100",2
Electra,Cruisers Bicycles,Baldwinsville,Sharyn Hopkins,04-01-2016,6,Electra Townie Original 7D EQ - Women's - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$600,1
Pure Cycles,Cruisers Bicycles,Baldwinsville,Sharyn Hopkins,04-01-2016,6,Pure Cycles Western 3-Speed - Women's - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$449,1
Surly,Mountain Bikes,Baldwinsville,Sharyn Hopkins,04-01-2016,6,Surly Wednesday Frameset - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$2,000",2
Trek,Electric Bikes,Baldwinsville,Sharyn Hopkins,04-01-2016,6,Trek Conduit+ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$6,000",2
Electra,Cruisers Bicycles,Bellmore,Laureen Paul,04-01-2016,7,Electra Moto 1 - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$530,1
